episode: 0, score: -21.0, moving average: -21.0, best: -inf, duration: 20.2
episode: 1, score: -20.0, moving average: -20.5, best: -21.0, duration: 24.3
episode: 2, score: -21.0, moving average: -20.7, best: -20.5, duration: 21.4
episode: 3, score: -21.0, moving average: -20.8, best: -20.5, duration: 23.5
episode: 4, score: -20.0, moving average: -20.6, best: -20.5, duration: 20.7
episode: 5, score: -20.0, moving average: -20.5, best: -20.5, duration: 23.2
episode: 6, score: -20.0, moving average: -20.4, best: -20.5, duration: 20.9
episode: 7, score: -21.0, moving average: -20.5, best: -20.4, duration: 26.4
episode: 8, score: -21.0, moving average: -20.6, best: -20.4, duration: 25.1
episode: 9, score: -20.0, moving average: -20.5, best: -20.4, duration: 24.7
episode: 10, score: -20.0, moving average: -20.5, best: -20.4, duration: 31.0
